#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2022-10-26 05:12:41 EDT      (sdww02)
#
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# https://waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# https://waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  ts_id        TimeSeries ID
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd	site_no	station_nm	ts_id	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
USGS	02234344	HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL	30558	00065	2022-10-26 04:30:00	EDT	8.75		2022-10-26 04:38:02
USGS	02234384	SOLDIER CREEK NEAR LONGWOOD, FL	30562	00065	2022-10-26 04:30:00	EDT	8.28		2022-10-26 04:35:54
USGS	02234400	GEE CREEK NEAR LONGWOOD, FL	30566	00065	2022-10-26 04:00:00	EDT	8.77		2022-10-26 04:22:07
USGS	02234435	LAKE JESUP OUTLET NEAR SANFORD, FL	30570	00065	2022-10-26 04:30:00	EDT	8.21		2022-10-26 04:38:54
USGS	02234500	ST. JOHNS RIVER NEAR SANFORD, FL	30574	00065	2022-10-26 04:30:00	EDT	7.57		2022-10-26 04:44:44
USGS	02234990	LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL	173311	00065	2022-10-26 04:30:00	EDT	23.98		2022-10-26 04:37:03
USGS	02234991	SANLANDO SPRINGS NR LONGWOOD, FL	240638	00065	2022-10-26 03:30:00	EST	26.75		2022-10-26 04:41:03
USGS	02235000	WEKIVA RIVER NEAR SANFORD, FL	30588	00065	2022-10-26 04:30:00	EDT	3.46		2022-10-26 04:38:54
USGS	02235200	BLACKWATER CREEK NEAR CASSIA, FL	30592	00065	2022-10-26 04:15:00	EDT	7.86		2022-10-26 04:25:02
USGS	02235500	BLUE SPRINGS NEAR ORANGE CITY, FL	30595	00065	2022-10-26 04:15:00	EDT	6.21		2022-10-26 04:38:25
USGS	02236000	ST. JOHNS RIVER NEAR DE LAND, FL	30608	00065	2022-10-26 04:30:00	EDT	5.35		2022-10-26 04:44:44
USGS	02236125	ST. JOHNS RIVER AT ASTOR, FL	30615	00065	2022-10-26 04:30:00	EDT	3.73		2022-10-26 04:44:44
USGS	02236160	SILVER GLEN SPRINGS NEAR ASTOR, FL	30626	00065	2022-10-26 04:45:00	EDT	3.30		2022-10-26 04:54:52
USGS	02236350	GREEN SWAMP RUN NEAR EVA, FL	30632	00065	2022-10-26 04:15:00	EDT	5.01		2022-10-26 04:24:03
USGS	02236500	BIG CREEK NEAR CLERMONT, FL	30635	00065	2022-10-26 04:15:00	EDT	5.18		2022-10-26 04:22:07
USGS	02236605	LITTLE CREEK AT GREEN SWAMP ROAD NEAR CLERMONT, FL	30639	00065	2022-10-26 04:45:00	EDT	10.84		2022-10-26 04:54:52
USGS	02236900	PALATLAKAHA R AT CHERRY LK OUT NEAR GROVELAND, FL	169648	00065	2022-10-26 04:30:00	EDT	96.54		2022-10-26 04:41:53
USGS	02236901	PALATLAKAHA R BL SPWY AT CH LK OUT NR GROVELAND,FL	30650	00065	2022-10-26 04:30:00	EDT	95.36		2022-10-26 04:42:13
USGS	02237000	PALATLAKAHA RIVER NEAR MASCOTTE, FL	30652	00065	2022-10-26 04:30:00	EDT	94.66		2022-10-26 04:40:03
USGS	02237001	PALATLAKAHA RIVER BELOW SPWY, NEAR MASCOTTE, FL	30654	00065	2022-10-26 04:30:00	EDT	91.27		2022-10-26 04:33:54
USGS	02237010	PALATLAKAHA R AT STRUCTURE M-6 NR MASCOTTE, FL	30656	00065	2022-10-26 04:30:00	EDT	91.31		2022-10-26 04:41:53
USGS	02237011	PALATLAKAHA R BELOW STRUCTURE M-6 NR MASCOTTE, FL	30658	00065	2022-10-26 04:30:00	EDT	90.30		2022-10-26 04:37:14
USGS	02237050	PALATLAKAHA RIVER AT S M-5 NEAR OKAHUMPKA, FL	30659	00065	2022-10-26 04:30:00	EDT	88.64		2022-10-26 04:34:55
USGS	02237051	PALATLAKAHA R BELOW STRUCTURE M-5 NR OKAHUMPKA, FL	30661	00065	2022-10-26 04:45:00	EDT	85.31		2022-10-26 04:58:53
USGS	02237206	PALATLAKAHA R AT STRUCTURE M-4 NR OKAHUMPKA, FL	30662	00065	2022-10-26 04:30:00	EDT	84.17		2022-10-26 04:40:03
USGS	02237207	PALATLAKAHA R BELOW STRUCTURE M-4 NR OKAHUMPKA, FL	30664	00065	2022-10-26 04:30:00	EDT	79.75		2022-10-26 04:40:55
USGS	02237293	PALATLAKAHA R AT STRUCTURE M-1, NR OKAHUMPKA, FL	30668	00065	2022-10-26 04:30:00	EDT	70.78		2022-10-26 04:40:03
USGS	02237700	APOPKA-BEAUCLAIR CANAL NEAR ASTATULA, FL	170190	00065	2022-10-26 04:30:00	EDT	66.92		2022-10-26 04:32:54
USGS	02237700	APOPKA-BEAUCLAIR CANAL NEAR ASTATULA, FL	170196	00065	2022-10-26 04:30:00	EDT	62.28		2022-10-26 04:35:54
USGS	02237701	APOPKA-BEAUCLAIR CANAL BL DAM NEAR ASTATULA, FL	30687	00065	2022-10-26 04:30:00	EDT	63.05		2022-10-26 04:32:54
USGS	02237734	WOLF BRANCH AT FCRR NEAR MOUNT DORA, FL	30689	00065	2022-10-26 04:30:00	EDT	75.25		2022-10-26 04:32:54
USGS	02238000	HAYNES CREEK AT LISBON, FL	30692	00065	2022-10-26 04:30:00	EDT	63.25		2022-10-26 04:42:13
USGS	02238001	HAYNES CREEK BELOW BURRELL DAM AT LISBON, FL	30701	00065	2022-10-26 04:30:00	EDT	59.23		2022-10-26 04:41:53
USGS	02238499	OCKLAWAHA R AB MOSS BLUFF DAM AT MOSS BLUFF,FL	30704	00065	2022-10-26 04:00:00	EDT	58.86		2022-10-26 04:12:56
USGS	02238500	OCKLAWAHA RIVER AT MOSS BLUFF, FL	170262	00065	2022-10-26 04:00:00	EDT	35.46		2022-10-26 04:13:14
USGS	02239000	OCKLAWAHA RIVER NR OCALA,FLA.	30718	00065	2022-10-26 04:30:00	EDT	34.58		2022-10-26 04:39:24
USGS	02239501	SILVER RIVER NEAR OCALA, FL	196788	00065	2022-10-26 04:30:00	EDT	2.28		2022-10-26 04:40:55
USGS	02240000	OCKLAWAHA RIVER NEAR CONNER, FL	30734	00065	2022-10-26 04:30:00	EDT	3.72		2022-10-26 04:47:03
USGS	02240500	OCKLAWAHA RIVER AT EUREKA, FL	30739	00065	2022-10-26 04:15:00	EDT	20.02		2022-10-26 04:35:03
USGS	02243000	ORANGE CREEK AT ORANGE SPRINGS, FL	30744	00065	2022-10-26 04:15:00	EDT	3.14		2022-10-26 04:22:10
USGS	02243959	OCKLAWAHA R AB RODMAN DAM NR ORANGE SPRINGS,FLA.	30747	00065	2022-10-26 04:00:00	EDT	18.81		2022-10-26 04:22:05
USGS	02243960	OCKLAWAHA R AT RODMAN DAM NEAR ORANGE SPRINGS, FL	171282	00065	2022-10-26 04:00:00	EDT	3.75		2022-10-26 04:21:54
USGS	02244040	ST. JOHNS R AT BUFFALO BLUFF NEAR SATSUMA, FL	30757	00065	2022-10-26 04:15:00	EDT	12.95		2022-10-26 04:30:14
USGS	02244333	HAW CREEK AB RUSSELLS LANDING NR ST JOHNS PARK FL	30765	00065	2022-10-26 04:30:00	EDT	3.55		2022-10-26 04:38:02
USGS	02244440	DUNNS CREEK NEAR SATSUMA, FL	30769	00065	2022-10-26 04:00:00	EDT	13.06		2022-10-26 04:12:56
USGS	02245260	DEEP CREEK AT SPUDS, FL	223738	00065	2022-10-26 04:45:00	EDT	1.62		2022-10-26 04:52:13
USGS	02245260	DEEP CREEK AT SPUDS, FL	223739	00065	2022-10-26 04:45:00	EDT	2.61		2022-10-26 04:52:13
USGS	02245290	ST JOHNS RIVER AT RACY PT NEAR HASTINGS FL	229966	00065	2022-10-26 04:30:00	EDT	1.76		2022-10-26 04:46:03
USGS	02245340	ST JOHNS R BLW SHANDS BRIDGE NR GRN COVE SPRG, FL	205514	00065	2022-10-26 04:30:00	EDT	1.34		2022-10-26 04:38:54
USGS	02245500	SOUTH FORK BLACK CREEK NEAR PENNEY FARMS, FL	30783	00065	2022-10-26 04:30:00	EDT	1.23		2022-10-26 04:38:54
USGS	02246000	NORTH FORK BLACK CREEK NEAR MIDDLEBURG, FL	30788	00065	2022-10-26 04:00:00	EDT	1.99		2022-10-26 04:21:54
USGS	02246010	NORTH FORK BLACK CREEK AT MIDDLEBURG, FL	30793	00065	2022-10-26 04:45:00	EDT	13.62		2022-10-26 04:52:55
USGS	02246160	JULINGTON CRK AT OLD ST AUGUST RD NR BAYARD, FL	30795	00065	2022-10-26 04:15:00	EDT	1.56		2022-10-26 04:31:54
USGS	022462002	DURBIN CREEK NEAR FRUIT COVE, FL	167449	00065	2022-10-26 04:30:00	EDT	1.45		2022-10-26 04:34:55
USGS	02246318	ORTEGA RIVER AT KIRWIN ROAD NEAR JACKSONVILLE,FL	30806	00065	2022-10-26 04:30:00	EDT	5.92		2022-10-26 04:47:53
USGS	02246459	CEDAR RIVER AT SAN JUAN AVENUE AT JACKSONVILLE, FL	30809	00065	2022-10-26 05:00:00	EDT	12.17		2022-10-26 05:07:14
USGS	02246500	ST. JOHNS RIVER AT JACKSONVILLE, FL	30817	00065	2022-10-26 04:00:00	EDT	11.36		2022-10-26 04:21:54
USGS	02246515	POTTSBURG CREEK NR SOUTH JACKSONVILLE, FLA.	30824	00065	2022-10-26 04:30:00	EDT	19.36		2022-10-26 04:47:53
USGS	02246518	POTTSBURG CRK AT US90 NR S. JACKSONVILLE, FL	30826	00065	2022-10-26 04:30:00	EDT	-0.22		2022-10-26 04:41:53
USGS	02246621	TROUT R NR JACKSONVILLE FLA	30832	00065	2022-10-26 04:30:00	EDT	-0.80		2022-10-26 04:33:54
USGS	02246751	BROWARD RIVER BL BISCAYNE BLVD NR JACKSONVILLE, FL	30836	00065	2022-10-26 04:15:00	EDT	0.29		2022-10-26 04:26:02
USGS	02246804	DUNN CREEK AT DUNN CREEK RD NR EASTPORT, FL	30842	00065	2022-10-26 04:15:00	EDT	-0.37		2022-10-26 04:22:10
USGS	02246825	CLAPBOARD CREEK NR JACKSONVILLE, FL	30849	00065	2022-10-26 04:30:00	EDT	-1.73		2022-10-26 04:42:55
USGS	02247222	PELLICER CREEK NEAR ESPANOLA, FL	30852	00065	2022-10-26 04:30:00	EDT	15.12		2022-10-26 04:35:03
USGS	02247510	TOMOKA RIVER NEAR HOLLY HILL, FL	30862	00065	2022-10-26 04:30:00	EDT	8.73		2022-10-26 04:34:14
USGS	02248000	SPRUCE CREEK NEAR SAMSULA, FL	30870	00065	2022-10-26 04:30:00	EDT	2.76		2022-10-26 04:34:14
USGS	02248380	HAULOVER CANAL NEAR MIMS,FL	30892	00065	2022-10-26 04:45:00	EDT	1.66		2022-10-26 04:53:54
USGS	02249007	EAU GALLIE RIV AT HEATHER GLEN CIR AT MELBOURNE FL	30911	00065	2022-10-26 04:15:00	EDT	13.42		2022-10-26 04:24:25
USGS	02249500	CRANE CREEK AT MELBOURNE, FL	30916	00065	2022-10-26 04:15:00	EDT	6.70		2022-10-26 04:25:14
USGS	02250030	TURKEY CREEK AT PALM BAY, FL	30921	00065	2022-10-26 04:45:00	EDT	6.59		2022-10-26 04:53:54
USGS	02251000	SOUTH PRONG ST SEBASTIAN RIVER NEAR SEBASTIAN,FL	30926	00065	2022-10-26 04:30:00	EDT	12.32		2022-10-26 04:39:24
USGS	02251500	NORTH PRONG SAINT SEBASTIAN RIVER NEAR MICCO, FL	30931	00065	2022-10-26 04:30:00	EDT	5.05		2022-10-26 04:38:54
USGS	02251767	FELLSMERE CANAL NEAR MICCO, FL	30935	00065	2022-10-26 04:30:00	EDT	2.42		2022-10-26 04:34:55
USGS	02251800	INDIAN RIVER AT WABASSO, FL	30940	00065	2022-10-26 04:30:00	EDT	1.49		2022-10-26 04:38:54
USGS	02252500	NORTH CANAL NEAR VERO BEACH, FL	30944	00065	2022-10-26 04:45:00	EDT	2.90		2022-10-26 04:53:54
USGS	02253000	MAIN CANAL AT VERO BEACH, FL	30948	00065	2022-10-26 04:00:00	EDT	8.20		2022-10-26 04:21:54
USGS	02253500	SOUTH CANAL NEAR VERO BEACH, FL	30955	00065	2022-10-26 04:30:00	EDT	2.93		2022-10-26 04:34:55
USGS	02255600	FISHEATING CREEK NEAR LAKE PLACID,FL	30958	00065	2022-10-26 04:45:00	EDT	74.98		2022-10-26 04:51:44
USGS	02256500	FISHEATING CREEK AT PALMDALE, FL	30962	00065	2022-10-26 05:00:00	EDT	5.04		2022-10-26 05:04:55
USGS	02257000	FISHEATING CREEK AT LAKEPORT, FL	30965	00065	2022-10-26 04:45:00	EDT	15.68		2022-10-26 04:58:03
USGS	02257750	HARNEY POND CANAL 2.4 MILES BL S70 NR LAKEPORT, FL	168098	00065	2022-10-26 04:45:00	EDT	18.56		2022-10-26 05:07:14
USGS	02257790	HARNEY POND CANAL ABOVE S-71 NR LAKEPORT, FL	168193	00065	2022-10-26 04:15:00	EDT	18.57		2022-10-26 04:41:03
USGS	02258800	INDIAN PRAIRIE CANAL AB PUMP STA NR OKEECHOBEE, FL	168090	00065	2022-10-26 04:30:00	EDT	19.45		2022-10-26 04:51:03
USGS	02259100	INDIAN PRAIRIE CANAL ABOVE S-72 NR OKEECHOBEE, FL	167911	00065	2022-10-26 04:30:00	EDT	19.54		2022-10-26 04:53:54
USGS	02262900	BOGGY CREEK NEAR TAFT, FL	30971	00065	2022-10-26 04:45:00	EDT	6.60		2022-10-26 04:52:55
USGS	02263800	SHINGLE CREEK AT AIRPORT NEAR KISSIMMEE, FL	30974	00065	2022-10-26 04:30:00	EDT	5.40		2022-10-26 04:38:02
USGS	02263869	SOUTH LAKE OUTLET AT S-15, NEAR VINELAND, FL	30979	00065	2022-10-26 04:45:00	EDT	94.20		2022-10-26 05:01:02
USGS	02263870	SOUTH LAKE OUTLET BELOW S-15 NEAR VINELAND, FLA.	30988	00065	2022-10-26 04:45:00	EDT	89.21		2022-10-26 05:01:02
USGS	02264000	CYPRESS CREEK AT VINELAND, FL	30990	00065	2022-10-26 04:00:00	EDT	3.45		2022-10-26 04:22:07
USGS	02264003	CYPRESS CREEK CANAL AT S-103A NEAR VINELAND, FL	30995	00065	2022-10-26 04:00:00	EDT	93.20		2022-10-26 04:22:07
USGS	02264004	LATERAL 103 BELOW S-103A NR VINELAND	31001	00065	2022-10-26 04:00:00	EDT	90.27		2022-10-26 04:22:05
USGS	02264030	LK BUENA VIS TR AT HOTEL PL BLVD AT LK BUENA VISTA	31002	00065	2022-10-26 04:30:00	EDT	89.31		2022-10-26 04:33:54
USGS	02264051	BLACK LK OUTLET AT S-101A, AT LAKE BUENA VISTA, FL	31005	00065	2022-10-26 04:00:00	EDT	94.51		2022-10-26 04:22:07
USGS	02264060	LATERAL 101 AT S-101, NEAR LAKE BUENA VISTA, FL	31008	00065	2022-10-26 04:00:00	EDT	90.16		2022-10-26 04:21:54
USGS	02264061	LATERAL 101 BELOW S-101 NR BUENA VISTA,FL	31012	00065	2022-10-26 04:00:00	EDT	84.58		2022-10-26 04:22:05
USGS	02264100	BONNET CREEK NEAR VINELAND, FL	31014	00065	2022-10-26 04:00:00	EDT	73.31		2022-10-26 04:22:07
USGS	02264140	BONNET CREEK NEAR KISSIMMEE, FL	31020	00065	2022-10-26 04:30:00	EDT	70.32		2022-10-26 04:38:25
USGS	02264141	BONNET CREEK BELOW CULVERTS NEAR KISSIMMEE, FL	31024	00065	2022-10-26 04:15:00	EDT	67.87		2022-10-26 04:25:02
USGS	02264495	SHINGLE CREEK AT CAMPBELL, FL	31027	00065	2022-10-26 04:15:00	EDT	55.43		2022-10-26 04:30:14
USGS	02266025	REEDY CREEK AT S-46 NEAR VINELAND, FL	31030	00065	2022-10-26 04:00:00	EDT	94.75		2022-10-26 04:21:54
USGS	02266026	10B REEDY CREEK BELOW S-46 NR VINELAND FLA	31036	00065	2022-10-26 04:00:00	EDT	93.40		2022-10-26 04:22:05
USGS	02266200	WHITTENHORSE CREEK NEAR VINELAND, FL	31038	00065	2022-10-26 04:30:00	EDT	94.85		2022-10-26 04:35:03
USGS	02266205	WHITTENHORSE CREEK AT S-411, NEAR VINELAND, FL	31043	00065	2022-10-26 04:00:00	EDT	95.06		2022-10-26 04:21:54
USGS	02266206	WHITTENHORSE BELOW S-411 NR VINELAND,FL	31049	00065	2022-10-26 04:00:00	EDT	91.59		2022-10-26 04:22:05
USGS	02266291	LATERAL 405 AT S-405A, NEAR DOCTOR PHILLIPS, FL	31050	00065	2022-10-26 04:00:00	EDT	95.03		2022-10-26 04:22:07
USGS	02266292	LATERAL 405 BL S405A NR DR PHILLIPS, FL	31056	00065	2022-10-26 04:00:00	EDT	89.41		2022-10-26 04:22:05
USGS	02266293	10B LATERAL 405 AB S-405 NEAR VINELAND, FLA	31057	00065	2022-10-26 04:45:00	EDT	89.27		2022-10-26 04:52:55
USGS	02266294	10B LATERAL 405 BL S-405 NEAR VINELAND FLA	31061	00065	2022-10-26 04:45:00	EDT	83.12		2022-10-26 04:52:55
USGS	02266295	LATERAL 410 AT S-410 NEAR VINELAND, FL	31062	00065	2022-10-26 04:00:00	EDT	95.05		2022-10-26 04:21:54
USGS	02266296	LATERAL 410 BL S-410 NR VINELAND, FL	31068	00065	2022-10-26 04:00:00	EDT	89.02		2022-10-26 04:22:05
USGS	02266299	401 CANAL NR VINELAND, FL	316535	00065	2022-10-26 04:45:00	EDT	12.97		2022-10-26 04:58:03
USGS	02266300	REEDY CREEK NEAR VINELAND, FL	31071	00065	2022-10-26 04:45:00	EDT	11.06		2022-10-26 04:47:53
USGS	02266480	DAVENPORT CREEK NEAR LOUGHMAN, FL	31076	00065	2022-10-26 04:45:00	EDT	6.77		2022-10-26 04:56:52
USGS	02266495	REEDY CREEK AT S-40, NEAR LOUGHMAN, FL	31081	00065	2022-10-26 04:30:00	EDT	70.55		2022-10-26 04:32:54
USGS	02266496	REEDY CREEK BELOW S-40, NEAR LOUGHMAN, FL	31083	00065	2022-10-26 04:30:00	EDT	68.64		2022-10-26 04:35:03
USGS	02266500	REEDY CREEK NEAR LOUGHMAN, FL	31087	00065	2022-10-26 03:45:00	EST	3.10		2022-10-26 04:55:02
USGS	02266550	REEDY CREEK AT STATE HWY 531 NEAR POINSIANNA, FL	31089	00065	2022-10-26 05:00:00	EDT	59.93		2022-10-26 05:08:03
USGS	02268390	TIGER CREEK NEAR BABSON PARK FL	167154	00065	2022-10-26 04:30:00	EDT	45.09		2022-10-26 04:36:14
USGS	02269520	LIVINGSTON CREEK NEAR FROSTPROOF FL	167157	00065	2022-10-26 04:45:00	EDT	46.12		2022-10-26 04:47:53
USGS	02270000	CARTER CREEK NEAR SEBRING FL	31102	00065	2022-10-26 04:15:00	EDT	7.02		2022-10-26 04:21:54
USGS	02270500	ARBUCKLE CREEK NEAR DE SOTO CITY, FL	31105	00065	2022-10-26 04:15:00	EDT	5.60		2022-10-26 04:23:02
USGS	02271500	JOSEPHINE CREEK NEAR DE SOTO CITY FL	31109	00065	2022-10-26 05:00:00	EDT	4.13		2022-10-26 05:10:53
USGS	02272650	FISH SLOUGH NEAR BASINGER, FL	31111	00065	2022-10-26 04:45:00	EDT	57.59		2022-10-26 04:53:54
USGS	02272676	CYPRESS SLOUGH NEAR BASINGER, FL	31114	00065	2022-10-26 04:45:00	EDT	32.21		2022-10-26 04:53:54
USGS	02273230	C-41 CANAL NEAR BRIGHTON, FL	31117	00065	2022-10-26 04:30:00	EDT	24.72		2022-10-26 04:41:03
USGS	02273630	POPASH SLOUGH NEAR OKEECHOBEE, FL	31121	00065	2022-10-26 04:45:00	EDT	22.02		2022-10-26 04:53:54
USGS	02274005	OTTER CREEK NEAR OKEECHOBEE, FL	31123	00065	2022-10-24 12:45:00	EDT	32.70		2022-10-25 00:53:03
USGS	02274010	TAYLOR CREEK NEAR OKEECHOBEE, FL	31126	00065	2022-10-26 04:45:00	EDT	23.18		2022-10-26 04:52:55
USGS	02274325	TAYLOR CREEK AT GRASSY ISLAND NR OKEECHOBEE, FL	31129	00065	2022-10-26 04:45:00	EDT	18.29		2022-10-26 04:52:55
USGS	02274490	WILLIAMSON DITCH NEAR OKEECHOBEE, FL	31133	00065	2022-10-26 04:45:00	EDT	18.29		2022-10-26 04:53:54
USGS	02274505	WOLFF CREEK NR OKEECHOBEE,FL	31136	00065	2022-10-26 04:45:00	EDT	20.34		2022-10-26 04:52:55
USGS	02275197	MOSQUITO CREEK NEAR OKEECHOBEE, FL	31138	00065	2022-10-26 04:45:00	EDT	20.02		2022-10-26 04:53:54
USGS	02276877	ST. LUCIE CANAL BLW S-308, NR PORT MAYACA (AUX) FL	31140	00065	2022-10-26 04:45:00	EDT	13.90		2022-10-26 04:53:54
USGS	02276998	ST LUCIE CANAL ABV S-80 NR STUART FL	187309	00065	2022-10-26 04:45:00	EDT	12.54		2022-10-26 05:02:14
USGS	02277100	ST LUCIE RIVER AT SPEEDY POINT, STUART FL	31145	00065	2022-10-26 04:45:00	EDT	0.93		2022-10-26 04:48:44
USGS	02277110	ST LUCIE ESTUARY AT A1A (STEELE PT)STUART FL	31155	00065	2022-10-26 04:45:00	EDT	0.86		2022-10-26 04:48:44
USGS	02277600	LOXAHATCHEE RIVER NEAR JUPITER,FL	31167	00065	2022-10-26 04:30:00	EDT	11.42		2022-10-26 04:42:55
USGS	02277602	LOXAHATCHEE RIVER DWS LAINHART DAM NR JUPITER FL	31170	00065	2022-10-26 04:30:00	EDT	10.69		2022-10-26 04:42:55
USGS	02277744	LOXAHATCHEE RV 500 FT DS OF US-1 AT JUPITER, FL	304406	00065	2022-10-26 04:15:00	EDT	-1.23		2022-10-26 04:22:07
USGS	02280500	HILLSBORO CANAL BELOW S351 NR SOUTH BAY FLA	31175	00065	2022-10-26 04:15:00	EDT	10.06		2022-10-26 04:30:14
USGS	02283500	N NEW RIVER CANAL BELOW S351 NR SOUTH  BAY FLA	31186	00065	2022-10-26 04:15:00	EDT	10.07		2022-10-26 04:29:02
USGS	02286328	C-8 CANAL AT NE 135 ST AT NORTH MIAMI, FL	31189	00065	2022-10-26 04:45:00	EDT	0.09		2022-10-26 04:50:56
USGS	02286400	MIAMI CANAL AT S-354 AND S-3 AT LAKE HARBOR, FLA	31196	00065	2022-10-26 04:15:00	EDT	10.49		2022-10-26 04:28:53
USGS	02287497	N.W. WELLFIELD CANAL NR DADE BROWARD LEVEE NR PENN	31203	00065	2022-10-26 04:45:00	EDT	5.86		2022-10-26 05:01:13
USGS	02288800	TAMIAMI CANAL OUTLETS, MONROE TO CARNESTOWN, FLA	31208	00065	2022-10-26 04:15:00	EDT	4.37		2022-10-26 04:24:03
